date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,AnnouncedDate,MACD_macd,MACD_macdsignal,MACD_macdhist,RSI10,BOLL_Upper,BOLL_Middle,BOLL_Lower,CCI10,DX10,SMA5,SMA10,SMA20,date_before_announced_0,date_before_announced_1,date_before_announced_2,date_before_announced_3,date_before_announced_4,date_before_announced_5,date_before_announced_6,date_before_announced_7,date_before_announced_8,date_before_announced_9,date_before_announced_10,date_before_announced_11,date_before_announced_12,date_before_announced_13,date_before_announced_14,date_before_announced_15,date_before_announced_16,date_before_announced_17,date_before_announced_18,date_before_announced_19,MeasuringReasonCode_1,MeasuringReasonCode_2,MeasuringReasonCode_3,MeasuringReasonCode_4,MeasuringReasonCode_5,MeasuringReasonCode_6
2023-05-31,1519,0.7591531826114987,0.630690812429344,-0.8545454545454545,-1.0204081632653061,-0.9565217391304348,-0.9722222222222222,0.8837209302325582,0.4787490528346077,2023-06-29,0.5783785928719476,-0.6142799140296142,0.9852044365079691,0.6215745900950632,-1.5025064335126963,-1.653061224489798,-0.962014042408178,0.14649456762698965,0.36488276265277314,-1.653061224489798,-1.9665144596651372,-1.202333117303951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2023-06-01,1519,-0.029055890193765085,-0.05581470181377799,-0.6,-0.7755102040816326,-0.6086956521739131,-1.0833333333333333,-0.046511627906976744,-0.1115933044017359,2023-06-29,0.5839881658493761,-0.33317931236218457,0.8357030173174936,0.48632253287969746,-1.4019731797690238,-1.5714285714285743,-0.9586646284084701,0.33145894444878765,0.4354631930499004,-1.5714285714285743,-1.6438356164383494,-1.0864549578742688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2023-06-02,1519,0.6363596991015085,0.6391637439606956,-0.6727272727272727,0.0,-0.4782608695652174,0.4722222222222222,2.744186046511628,0.5253151477578012,2023-06-29,0.9263591984754225,0.028639283282936565,1.0145580912551695,0.9494057433617942,-0.5496438480426616,-0.95918367346939,-1.1150038781994778,1.1882670089016405,0.6076959536083549,-0.95918367346939,-1.2237442922374393,-0.9337653920933231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2023-06-05,1519,3.0070938095647355,3.161892241996425,0.6363636363636364,0.7755102040816326,0.43478260869565216,0.25,-0.23255813953488372,2.5293104635944066,2023-06-29,1.0809736532857706,0.379935290821657,0.9912421219025926,0.7071681247199361,-0.14625717558707907,-0.5510204081632673,-0.9150444193697487,1.2250862574918024,0.7228614732303033,-0.5510204081632673,-0.8888888888888866,-0.8119248217757596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2023-06-06,1519,0.029055890193765085,0.06564372209380713,0.09090909090909091,-0.04081632653061224,0.043478260869565216,-0.08333333333333333,-0.4186046511627907,0.1115933044017359,2023-06-29,1.0587421779709159,0.652080175463664,0.8158589236797156,0.34707496261775256,-0.0037201477432638142,-0.2244897959183683,-0.42258356485287146,0.21554233226098382,0.1945005011033208,-0.2244897959183683,-0.6940639269406385,-0.6823071937783529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2023-06-07,1519,0.07405640725263894,0.1151988683100943,-0.01818181818181818,0.0,0.043478260869565216,0.1388888888888889,0.5116279069767442,0.13942274574636632,2023-06-29,1.0381155997892837,0.861546072365255,0.6769747116941087,0.4307926186605966,0.12913765078743658,0.04761904761904688,-0.03817736650529171,0.05790730328528139,0.20616502599432657,0.04761904761904688,-0.49923896499239034,-0.5368762151652613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2023-06-08,1519,-0.362708959766865,-0.3136674274263548,0.01818181818181818,-0.04081632653061224,-0.043478260869565216,-0.25,-0.5116279069767442,-0.40366466900874837,2023-06-29,0.8650848246553232,0.9599116847091306,0.43079850450838825,0.0021800361043959136,0.0037201477432670465,0.2517006802721083,0.6654587085391792,-0.2322771688229031,0.0802685217126022,0.2517006802721083,-0.3713850837138507,-0.39144523655216973,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-09,1519,-0.49622392202156723,-0.4456510910636825,-0.12727272727272726,-0.2857142857142857,-0.13043478260869565,-0.027777777777777776,0.5116279069767442,-0.5805607219122408,2023-06-29,0.7285175683056285,0.9839813800746123,0.26617348015370995,0.1095589303338436,-0.178587616898359,0.12925170068027067,0.7185798149250924,-0.40664770684257673,-0.05209270477593552,0.12925170068027067,-0.1522070015220694,-0.25664290343486623,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-12,1519,0.08213292640833042,0.05581470181377799,-0.38181818181818183,-0.5306122448979592,-0.7391304347826086,-0.6944444444444444,-0.9767441860465116,0.12729902872494317,2023-06-29,0.3982252368789585,0.8711301392005314,-0.037216172734739726,-0.579202871262312,-0.2594536848858326,-0.1020408163265307,0.3326647856046821,-1.160940487696705,-0.8719211523601361,-0.1020408163265307,-0.07305936073059607,-0.14646791963706987,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-06-13,1519,-0.512521776515047,-0.4847945558939059,-0.34545454545454546,-0.6122448979591837,-0.4782608695652174,-0.8055555555555556,-0.046511627906976744,-0.5374388647792243,2023-06-29,0.05982406629691947,0.6454988575917087,-0.2871143866309066,-0.6853301557476948,-0.3216306175198915,-0.2789115646258521,0.03817736650529469,-1.3094096761443994,-0.8719211523601359,-0.2789115646258521,-0.006088280060884159,-0.05055087491898863,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
